"f10","f15","b1","b2","b3","age","numkids","partner","selfempl","nonequity.wealth.cat","lincome","male","adv.lit.index","bsc.lit.index","edu1","edu2","edu3","edu4","edu5","edu6","retired","mkt.part"
"worse","intermediate or high","7 zeer goed","a lot","some",">60",0,"Ja",0,"4",10.477405,"male",0.87911451,0.79180282,0,0,0,1,0,0,1,1
"worse","intermediate or high","7 zeer goed","a lot","a lot","40s",0,"Nee",0,"4",10.143618,"male",0.87408167,0.79180282,0,0,0,0,1,0,0,1
"better","intermediate or high","Ik weet het niet","some","some",">60",0,"Ja",0,"4",10.121858,"male",0.7183882,0.79180282,0,0,0,0,0,1,1,0
"no sibling","low","5","some","some",">60",0,"Nee",NA,NA,9.691391,"female",-1.3740935,-0.37718052,1,0,0,0,0,0,0,NA
"better","intermediate or high","6","a lot","a lot","50s",3,"Ja",0,"4",11.058725,"male",0.80457455,0.79180282,0,0,0,0,0,1,0,1
"better","intermediate or high","4","little","little","30s",0,"Ja",0,NA,10.770996,"female",-0.76473409,-0.14602637,0,0,0,1,0,0,0,0
"worse","intermediate or high","5","little","some",">60",0,"Nee",0,NA,9.6310902,"male",0.1300306,-0.14602637,0,0,0,0,1,0,1,1
"no sibling","intermediate or high","5","some","some","40s",0,"Ja",0,"4",10.923047,"male",0.87408167,0.79180282,0,0,0,0,1,0,0,0
"better","intermediate or high","5","a lot","a lot",">60",0,"Ja",0,"4",10.722845,"male",0.83358723,0.79180282,0,1,0,0,0,0,1,0
"worse","intermediate or high","6","hardly at all","some",">60",1,"Ja",0,"4",10.669649,"male",0.78645676,0.79180282,0,0,0,0,1,0,1,0
"worse","intermediate or high","5","some","little",">60",0,"Ja",0,"4",10.457745,"female",0.57638556,0.49042296,0,0,0,0,1,0,0,1
"worse","intermediate or high","6","a lot","little",">60",0,"Ja",0,"4",10.738378,"male",0.80457455,0.79180282,0,0,0,0,0,1,1,0
"worse","intermediate or high","6","a lot","some",">60",0,"Ja",NA,NA,NA,"male",0.9449876,0.79180282,0,0,0,0,1,0,1,NA
"better","intermediate or high","Ik weet het niet","little","little",">60",0,"Ja",0,"2",10.186335,"male",0.20209484,0.49042296,0,1,0,0,0,0,1,0
"better","intermediate or high","5","some","some",">60",0,"Nee",NA,NA,NA,"male",0.52143687,0.79180282,0,0,1,0,0,0,1,NA
"worse","intermediate or high","6","some","some","50s",2,"Ja",0,"4",10.789596,"male",0.82730883,-0.14602637,0,0,0,0,1,0,0,1
"better","intermediate or high","5","some","little",">60",0,"Ja",0,"4",10.017803,"female",0.063391492,0.79180282,0,0,0,1,0,0,1,0
"better","intermediate or high","6","some","a lot","50s",1,"Ja",0,"3",10.629546,"male",0.77719343,0.79180282,1,0,0,0,0,0,0,0
"worse","dont know","5","some","some",">60",0,"Nee",NA,NA,NA,"male",0.77719343,0.79180282,0,0,0,0,0,1,1,NA
"worse","intermediate or high","5","little","hardly at all",">60",0,"Nee",0,"4",11.073383,"male",0.44907814,0.79180282,0,0,0,0,0,1,1,1
"worse","intermediate or high","4","some","some","40s",3,"Ja",0,"3",10.93218,"female",-0.75661272,-0.14602637,0,0,0,1,0,0,0,0
"no sibling","intermediate or high","4","little","some",">60",0,"Nee",0,"2",9.5440102,"female",0.2364848,-3.7419701,0,0,1,0,0,0,1,0
"no sibling","dont know","4","little","little",">60",0,"Nee",NA,NA,10.649096,"male",0.9449876,0.79180282,0,0,0,0,1,0,1,NA
"no sibling","low","5","little","little","40s",1,"Ja",NA,NA,10.046156,"male",-1.0282563,0.79180282,0,0,1,0,0,0,0,NA
"no sibling","intermediate or high","4","a lot","some",">60",0,"Nee",NA,NA,10.179647,"male",0.85747272,-0.14602637,0,0,0,0,1,0,1,NA
"better","intermediate or high","6","some","some","50s",0,"Ja",NA,NA,NA,"female",0.32624388,-0.14602637,0,1,0,0,0,0,0,NA
"worse","dont know","5","some","little",">60",0,"Nee",0,"2",9.7110615,"male",0.32002005,0.15866753,0,1,0,0,0,0,1,1
"better","intermediate or high","4","hardly at all","little",">60",0,"Ja",0,"4",10.105928,"male",0.35044435,0.79180282,0,0,0,0,0,1,1,0
"no sibling","intermediate or high","3","little","some","30s",2,"Ja",0,"1",9.9094219,"male",-0.24549256,0.49042296,0,0,1,0,0,0,0,0
"no sibling","intermediate or high","5","hardly at all","little",">60",0,"Ja",0,"4",11.143031,"male",-1.5945386,0.49042296,0,0,0,0,1,0,1,0
"better","intermediate or high","4","hardly at all","little",">60",0,"Ja",0,"4",9.1886654,"female",-2.340368,-0.37718052,0,1,0,0,0,0,1,0
