"f10","f15","b1","b2","b3","age","numkids","partner","selfempl","nonequity.wealth.cat","lincome","male","adv.lit.index","bsc.lit.index","edu1","edu2","edu3","edu4","edu5","edu6","retired","mkt.part"
"no sibling","dont know","2","a lot","a lot","30s",0,"Nee",1,"1",9.0610332,"male",0.26494649,-0.14271231,0,1,0,0,0,0,0,0
"no sibling","intermediate or high","5","little","some","30s",0,"Ja",0,"2",9.5373001,"male",0.85747272,0.79180282,0,0,1,0,0,0,0,1
"better","intermediate or high","5","little","a lot","50s",1,"Ja",1,"4",10.910183,"male",0.9449876,0.79180282,0,0,0,0,0,1,0,1
"better","low","3","hardly at all","hardly at all","40s",0,"Nee",0,"2",11.342819,"male",0.085474841,-4.6797991,1,0,0,0,0,0,0,0
"better","intermediate or high","5","some","a lot","50s",0,"Nee",0,"3",9.8249111,"male",0.7335586,0.79180282,0,0,0,0,1,0,0,0
"better","dont know","4","hardly at all","some",">60",0,"Nee",0,"2",9.7109261,"male",0.13963017,0.49042296,0,1,0,0,0,0,1,0
"better","intermediate or high","5","some","some",">60",0,"Nee",0,"4",10.007402,"female",0.8910414,0.79180282,0,0,0,0,0,1,1,1
"no sibling","low","4","some","little","50s",2,"Ja",NA,NA,10.405537,"female",-1.6744267,-0.37718052,0,1,0,0,0,0,0,NA
"better","intermediate or high","4","hardly at all","little","30s",0,"Nee",0,NA,9.4771948,"male",-2.0982158,0.15866753,0,0,0,1,0,0,0,0
"better","intermediate or high","5","some","little",">60",0,"Ja",0,"4",10.032248,"female",0.78506076,-0.14602637,0,0,1,0,0,0,0,1
"no sibling","intermediate or high","2","hardly at all","some","40s",2,"Ja",0,"4",10.281575,"female",-1.0120209,-0.14271231,0,0,0,1,0,0,0,1
"better","intermediate or high","3","little","some","40s",0,"Nee",0,"2",9.6482105,"male",0.64709157,0.79180282,0,0,1,0,0,0,0,1
"better","intermediate or high","5","hardly at all","hardly at all","50s",0,"Ja",0,"4",9.8570299,"male",-0.19337998,-0.44740623,0,1,0,0,0,0,0,0
"better","intermediate or high","4","little","some","50s",0,"Ja",0,"3",9.6674299,"female",-0.56696683,0.15866753,0,1,0,0,0,0,0,0
"better","intermediate or high","4","some","little",">60",0,"Ja",0,"4",10.23602,"male",0.68944573,0.79180282,0,0,0,0,1,0,0,1
"worse","intermediate or high","6","a lot","a lot","30s",2,"Ja",0,"2",9.7506409,"female",-2.9202559,-4.6797991,0,1,0,0,0,0,0,0
"better","intermediate or high","6","a lot","a lot","30s",0,"Nee",NA,NA,10.463246,"male",0.82730883,0.79180282,0,0,1,0,0,0,0,NA
"worse","intermediate or high","5","a lot","some","30s",0,"Ja",0,"3",10.979726,"male",0.82091075,0.79180282,0,0,0,0,1,0,0,1
"better","intermediate or high","4","little","some","30s",2,"Ja",0,"3",9.5058775,"male",0.28171977,-0.14602637,0,0,1,0,0,0,0,0
"worse","intermediate or high","5","some","some",">60",0,"Ja",0,"3",9.5400743,"male",0.37360096,-0.37718052,0,1,0,0,0,0,1,1
"better","intermediate or high","3","little","hardly at all",">60",0,"Nee",0,"4",10.055096,"male",0.66539979,0.79180282,0,0,0,0,0,1,1,1
"better","intermediate or high","4","some","some",">60",0,"Ja",0,"4",10.164845,"male",1.0239724,0.79180282,0,0,0,0,0,1,1,0
"worse","intermediate or high","5","some","some",">60",0,"Ja",NA,NA,NA,"male",0.69242942,0.49042296,0,0,0,0,1,0,1,NA
"no sibling","intermediate or high","6","some","little","50s",0,"Ja",0,"4",10.75922,"male",0.93776852,0.79180282,0,0,0,0,1,0,0,1
"better","intermediate or high","6","some","some","40s",1,"Ja",0,"2",9.7954788,"female",-1.0668235,-0.44740623,0,1,0,0,0,0,0,0
"no sibling","low","3","hardly at all","little","40s",2,"Ja",0,"3",11.240081,"female",-2.3155601,-4.3784194,0,1,0,0,0,0,0,0
"no sibling","low","4","little","little","50s",2,"Ja",0,"3",10.785593,"female",0.13194148,0.79180282,0,0,1,0,0,0,0,0
"better","intermediate or high","3","some","little","30s",1,"Nee",0,"2",9.7272501,"female",-0.67937797,0.79180282,0,0,0,0,0,1,0,0
"better","intermediate or high","4","some","little","30s",0,"Ja",NA,NA,10.350204,"male",0.24458174,0.15866753,0,0,0,0,0,1,0,NA
"no sibling","low","3","hardly at all","some",">60",0,"Ja",0,"4",10.39593,"male",0.56139338,-2.5729868,0,0,0,0,0,1,1,0
"better","intermediate or high","3","little","some","50s",0,"Ja",0,"3",10.720822,"male",0.079735309,0.49042296,0,0,0,1,0,0,0,0
"no sibling","low","1 zeer slecht","little","little","30s",3,"Ja",0,"1",9.8340292,"male",0.8910414,0.49042296,0,0,0,0,0,1,0,0
"better","intermediate or high","6","a lot","some","40s",0,"Nee",0,"3",10.231704,"female",0.5312134,0.79180282,0,0,0,0,1,0,0,1
"better","intermediate or high","Ik weet het niet","hardly at all","some","50s",0,"Ja",0,NA,9.8171387,"female",-1.614962,-0.37718052,0,1,0,0,0,0,0,0
"better","intermediate or high","5","some","some","30s",1,"Ja",NA,NA,10.296181,"female",0.32859561,-0.14602637,0,1,0,0,0,0,0,NA
"worse","intermediate or high","6","some","some","40s",2,"Ja",0,"3",10.316268,"male",0.79048133,0.49042296,0,0,1,0,0,0,0,0
"better","intermediate or high","3","a lot","little","30s",0,"Nee",0,"1",9.7630205,"male",0.61838144,0.79180282,0,0,0,0,1,0,0,1
"no sibling","intermediate or high","5","some","some","50s",0,"Ja",0,"2",7.2436047,"male",0.81325948,0.15866753,0,0,0,1,0,0,0,0
"better","low","4","little","some","40s",2,"Ja",NA,NA,10.179281,"male",0.21073356,0.79180282,0,0,0,0,1,0,0,NA
"better","low","5","some","little","50s",2,"Ja",0,"3",9.8846474,"male",0.7971077,0.49042296,0,0,0,0,1,0,0,1
"better","intermediate or high","6","little","a lot","50s",0,"Ja",0,"3",10.61202,"female",0.9449876,0.79180282,0,0,0,0,1,0,0,0
"no sibling","intermediate or high","5","little","some","30s",3,"Ja",0,"2",10.978001,"male",0.55315787,0.79180282,0,0,0,0,1,0,0,1
"no sibling","low","5","some","little","30s",1,"Ja",NA,NA,10.384333,"female",0.26159292,0.49042296,0,0,0,0,0,1,0,NA
"worse","intermediate or high","3","hardly at all","little","30s",0,"Nee",NA,NA,8.968708,"male",-0.18167818,0.79180282,0,0,0,0,1,0,0,NA
"worse","intermediate or high","3","some","little",">60",0,"Nee",0,"1",9.3807087,"male",-0.49094102,-1.0805415,0,1,0,0,0,0,0,0
"better","intermediate or high","2","hardly at all","little",">60",0,"Nee",NA,NA,NA,"male",0.80457455,0.79180282,0,0,0,1,0,0,1,NA
"better","intermediate or high","6","some","some",">60",0,"Nee",0,"2",9.6832237,"female",0.5075469,0.49042296,0,0,0,1,0,0,1,0
"no sibling","intermediate or high","3","little","some",">60",0,"Ja",0,"2",9.489255,"male",0.51640517,-0.44740623,0,0,1,0,0,0,1,1
"better","low","3","little","little","40s",0,"Ja",0,"3",10.114789,"male",0.7971077,0.49042296,0,1,0,0,0,0,0,0
"better","low","3","some","little","30s",1,"Nee",NA,NA,NA,"female",-2.0955865,-4.3784194,0,0,1,0,0,0,0,NA
"worse","intermediate or high","6","some","some","30s",0,"Nee",0,"3",9.6744518,"male",0.10490006,0.79180282,0,0,0,0,1,0,0,0
"better","intermediate or high","6","a lot","some","50s",0,"Nee",1,"2",8.6027431,"male",0.8910414,0.79180282,0,0,0,0,1,0,0,0
"better","intermediate or high","6","a lot","a lot","50s",0,"Nee",0,"1",9.6843815,"male",0.96102041,0.79180282,0,0,0,0,0,1,0,0
"better","intermediate or high","6","some","a lot","50s",0,"Nee",0,"2",9.7221718,"male",0.82730883,0.15866753,0,0,0,0,1,0,0,0
"better","intermediate or high","4","some","some","50s",0,"Nee",0,"3",10.104034,"female",0.24522729,0.79180282,0,0,0,1,0,0,0,1
"worse","intermediate or high","5","a lot","a lot","50s",2,"Ja",1,"4",11.365581,"male",0.65508574,-0.37718052,0,0,0,0,0,1,0,1
"better","intermediate or high","5","some","little","50s",0,"Nee",0,"2",9.5868092,"male",0.39356142,0.49042296,0,0,0,1,0,0,0,0
"worse","intermediate or high","4","some","little","40s",0,"Nee",0,"2",10.031894,"male",0.2372669,0.15866753,0,0,0,0,1,0,0,1
"better","intermediate or high","6","some","a lot","40s",0,"Nee",0,"3",9.701129,"female",0.45946062,-2.2495248,0,1,0,0,0,0,0,0
"better","intermediate or high","4","some","a lot","30s",0,"Ja",0,"4",9.8371563,"female",-0.86816216,-1.0103158,0,0,1,0,0,0,0,0
"better","intermediate or high","5","some","some",">60",0,"Nee",0,"1",8.6746244,"female",-2.9202559,-1.9398515,0,0,0,1,0,0,0,0
"better","intermediate or high","3","little","some","50s",0,"Nee",0,"4",9.7632914,"female",0.48399973,-1.948145,0,0,0,0,1,0,0,0
"worse","intermediate or high","5","some","some","40s",0,"Nee",0,"1",9.9297466,"female",0.87481648,0.79180282,0,0,0,0,1,0,0,0
"worse","low","4","some","some","50s",1,"Ja",0,"1",10.717469,"male",0.27825478,-0.14602637,0,0,1,0,0,0,0,1
"worse","intermediate or high","5","a lot","some",">60",0,"Ja",0,"4",10.346236,"male",1.0239724,0.79180282,0,0,0,0,1,0,1,0
"better","intermediate or high","4","hardly at all","little","50s",0,"Nee",0,"3",9.8642168,"male",-1.7631223,0.15866753,0,0,1,0,0,0,0,0
"better","intermediate or high","5","some","some","40s",0,"Nee",0,"2",9.4743357,"male",0.51108211,0.79180282,0,0,1,0,0,0,0,0
"better","intermediate or high","3","some","hardly at all","50s",0,"Nee",NA,NA,NA,"female",0.64815611,-0.14602637,0,0,1,0,0,0,0,NA
"worse","intermediate or high","7 zeer goed","hardly at all","little","50s",3,"Ja",0,"1",10.030797,"male",0.50208759,0.15866753,0,1,0,0,0,0,0,0
"worse","intermediate or high","4","little","some","50s",0,"Ja",NA,NA,NA,"female",-0.41573486,0.79180282,0,1,0,0,0,0,0,NA
"better","intermediate or high","4","little","little","50s",0,"Ja",0,"2",10.125951,"female",0.19533974,0.79180282,1,0,0,0,0,0,0,0
"better","intermediate or high","5","some","little","50s",0,"Nee",0,"2",9.8618517,"male",-0.40479469,0.49042296,0,0,0,0,1,0,0,0
"no sibling","intermediate or high","2","some","some","30s",0,"Nee",NA,NA,9.6651955,"female",0.9624154,0.79180282,0,0,0,0,0,1,0,NA
"worse","intermediate or high","6","a lot","a lot","40s",2,"Ja",0,NA,11.040028,"male",0.66824722,0.79180282,0,0,1,0,0,0,0,0
"worse","intermediate or high","4","little","some",">60",0,"Ja",0,"3",9.3392792,"male",0.79187632,0.49042296,0,0,1,0,0,0,0,0
"better","low","Ik weet het niet","little","some","30s",2,"Ja",NA,NA,NA,"female",-2.1169281,-4.6797991,0,1,0,0,0,0,0,NA
"no sibling","intermediate or high","6","little","little","50s",1,"Ja",0,"4",10.554316,"male",0.77207023,0.49042296,0,1,0,0,0,0,0,0
"better","intermediate or high","4","hardly at all","little","40s",0,"Nee",0,"1",10.401116,"male",-2.0982158,0.79180282,0,1,0,0,0,0,0,0
"better","intermediate or high","6","a lot","little","40s",0,"Nee",0,"3",10.364137,"male",0.82730883,0.79180282,0,0,0,1,0,0,0,0
"worse","intermediate or high","4","some","some","40s",0,"Ja",0,"1",10.256559,"female",-0.15030429,0.49042296,0,1,0,0,0,0,0,0
"no sibling","intermediate or high","3","hardly at all","little",">60",0,"Nee",0,"4",9.1504688,"female",-1.6688855,0.49042296,0,1,0,0,0,0,1,0
"better","intermediate or high","4","some","some","30s",2,"Ja",NA,NA,NA,"female",-1.4294575,0.79180282,0,0,1,0,0,0,0,NA
"better","intermediate or high","5","little","hardly at all","40s",6,"Ja",NA,NA,10.498884,"male",0.71020043,0.79180282,0,0,0,1,0,0,0,NA
"better","intermediate or high","2","hardly at all","hardly at all",">60",0,"Ja",0,"3",9.5895834,"male",-2.2289405,-3.7452841,0,0,1,0,0,0,1,0
"no sibling","dont know","6","some","a lot","50s",0,"Ja",NA,NA,NA,"female",0.5501712,0.79180282,0,0,1,0,0,0,0,NA
"better","low","6","some","some","30s",2,"Ja",0,"3",9.9919395,"male",0.76899433,0.79180282,0,0,0,0,1,0,0,0
"better","intermediate or high","6","little","some","50s",1,"Nee",0,"2",9.417325,"female",-1.1207012,-0.14602637,0,1,0,0,0,0,0,0
"better","intermediate or high","3","a lot","little","30s",0,"Ja",0,"2",9.6465492,"male",0.87911451,0.79180282,0,0,0,1,0,0,0,0
"no sibling","intermediate or high","5","some","some","50s",0,"Nee",0,"2",9.7815256,"female",0.27273068,-0.14271231,0,1,0,0,0,0,0,1
"worse","intermediate or high","5","little","little","50s",0,"Nee",0,"3",9.9450617,"male",0.51449221,0.49042296,0,0,0,0,1,0,0,0
"no sibling","dont know","6","hardly at all","a lot","30s",1,"Ja",0,"3",10.240144,"male",0.85747272,0.79180282,0,0,0,1,0,0,0,1
"better","intermediate or high","6","a lot","a lot","30s",2,"Ja",0,"3",9.9377689,"male",0.67048979,0.79180282,0,0,0,0,1,0,0,1
"better","intermediate or high","5","hardly at all","little","40s",2,"Ja",0,"3",10.037668,"male",0.4417952,0.79180282,0,0,0,0,0,1,0,0
"better","intermediate or high","6","little","little","40s",3,"Ja",0,"3",10.124635,"male",-0.057990268,0.79180282,0,0,0,1,0,0,0,0
"better","intermediate or high","6","hardly at all","a lot",">60",0,"Ja",0,"4",10.465502,"female",0.34217814,0.79180282,0,1,0,0,0,0,0,0
"no sibling","dont know","Ik wil het niet zeggen","a lot","a lot","30s",0,"Nee",0,"1",9.4613228,"male",-2.9202559,0.79180282,0,0,0,0,1,0,0,0
"worse","low","5","a lot","some","40s",0,"Ja",0,"4",10.089649,"female",0.80457455,0.49042296,0,0,0,0,1,0,0,0
"no sibling","low","2","hardly at all","little","30s",2,"Ja",0,NA,10.23023,"female",-0.69535142,-0.77916163,0,0,0,0,1,0,0,1
"worse","intermediate or high","5","some","some",">60",0,"Ja",0,"4",9.867938,"male",0.78389561,0.49042296,0,0,0,0,1,0,1,0
"better","intermediate or high","4","hardly at all","some","40s",1,"Ja",0,"2",9.8347321,"male",-2.4862831,-1.6384716,0,1,0,0,0,0,0,0
"better","intermediate or high","5","hardly at all","some",">60",0,"Nee",0,"4",9.6309195,"female",0.53991467,-0.37718052,1,0,0,0,0,0,0,0
"better","intermediate or high","5","some","little","30s",0,"Nee",NA,NA,NA,"male",0.27429184,0.79180282,0,1,0,0,0,0,0,NA
"better","low","1 zeer slecht","hardly at all","hardly at all",">60",0,"Ja",NA,NA,NA,"female",0.35546896,-4.6797991,0,1,0,0,0,0,0,NA
"better","intermediate or high","4","hardly at all","little",">60",0,"Ja",0,"4",9.9230127,"male",0.54912424,-0.14602637,0,0,0,0,1,0,1,0
"better","intermediate or high","5","little","some",">60",0,"Nee",NA,NA,NA,"female",0.57575202,0.79180282,0,0,0,0,1,0,1,NA
"no sibling","intermediate or high","5","some","some","30s",4,"Ja",NA,NA,10.003235,"male",0.49011818,0.15866753,0,0,1,0,0,0,0,NA
"better","intermediate or high","5","hardly at all","little",">60",0,"Ja",0,"3",9.2004757,"female",-0.11634558,0.79180282,0,1,0,0,0,0,0,0
"better","intermediate or high","3","little","some","40s",2,"Ja",0,"4",10.4673,"female",-2.9202559,-2.2716069,0,1,0,0,0,0,0,0
"better","intermediate or high","4","a lot","a lot","50s",0,"Ja",0,"2",10.009656,"male",0.77019387,0.79180282,0,1,0,0,0,0,0,0
"better","intermediate or high","5","some","some","50s",0,"Nee",0,"1",9.854085,"female",0.21200667,0.15866753,0,0,0,1,0,0,0,0
"worse","intermediate or high","6","a lot","little",">60",0,"Nee",0,"3",10.054575,"male",1.0239724,0.79180282,0,0,0,0,1,0,1,0
"better","intermediate or high","3","little","some","30s",2,"Ja",0,"3",10.031164,"female",0.60393929,-1.948145,0,0,1,0,0,0,0,1
"worse","intermediate or high","3","little","little","30s",3,"Ja",0,"4",10.741074,"female",1.0239724,0.79180282,0,1,0,0,0,0,0,0
"worse","intermediate or high","4","hardly at all","little",">60",0,"Nee",NA,NA,9.9397087,"male",-1.8180304,0.49042296,0,0,1,0,0,0,1,NA
"better","intermediate or high","5","hardly at all","some","30s",1,"Ja",1,"3",9.9818354,"female",-0.87029737,-0.14271231,0,0,1,0,0,0,0,0
"better","intermediate or high","5","some","some",">60",0,"Ja",0,"3",10.185662,"female",0.17364722,-1.6384716,0,1,0,0,0,0,1,0
"better","low","4","little","some","50s",2,"Nee",NA,NA,9.9443779,"male",0.66018444,0.79180282,0,1,0,0,0,0,0,NA
"worse","low","6","some","a lot","40s",0,"Ja",0,"3",10.189056,"female",0.76899433,-0.44740623,0,0,0,0,1,0,0,0
"worse","intermediate or high","5","little","little","40s",0,"Ja",0,NA,10.566337,"male",-0.26286158,0.49042296,0,0,0,0,1,0,0,1
"worse","intermediate or high","6","some","little","40s",2,"Ja",1,"3",10.230455,"male",0.72749764,-0.44740623,0,1,0,0,0,0,0,0
"better","intermediate or high","4","little","some",">60",0,"Ja",0,"2",9.6580849,"male",0.81572121,-1.6384716,0,0,0,0,0,1,1,0
"better","intermediate or high","2","little","hardly at all","50s",0,"Ja",0,"2",9.7881546,"male",0.80457455,0.79180282,0,0,0,0,0,1,0,0
"no sibling","low","6","little","a lot",">60",0,"Ja",0,"2",10.151739,"female",-0.095678851,-0.14271231,0,1,0,0,0,0,1,1
"worse","intermediate or high","6","little","some","50s",0,"Ja",0,"3",9.8617783,"female",0.094578892,-1.0805415,0,1,0,0,0,0,0,1
"better","intermediate or high","4","little","little","50s",0,"Nee",NA,NA,10.131334,"male",0.28453928,-0.14602637,0,0,0,0,0,1,0,NA
"no sibling","low","6","a lot","some","30s",0,"Ja",0,"2",10.280025,"male",0.81325948,0.49042296,0,0,0,0,0,1,0,1
"better","dont know","4","little","little",">60",0,"Nee",0,"3",9.5587692,"male",0.65574497,0.79180282,0,0,0,0,1,0,0,0
"worse","low","4","some","some",">60",0,"Ja",NA,NA,NA,"male",0.72219342,0.49042296,0,0,0,1,0,0,1,NA
"no sibling","dont know","Ik wil het niet zeggen","hardly at all","hardly at all","30s",2,"Ja",0,"2",10.514828,"male",-2.4173326,-4.6797991,0,0,0,0,0,1,0,0
"no sibling","dont know","6","some","a lot","30s",2,"Ja",NA,NA,NA,"female",0.33788538,-4.6797991,0,0,0,0,0,1,0,NA
"better","intermediate or high","5","some","little","50s",0,"Ja",0,"2",10.124769,"male",0.34313703,0.79180282,0,0,1,0,0,0,0,0
"no sibling","intermediate or high","4","a lot","some",">60",0,"Nee",0,"3",10.567698,"male",0.83358723,-0.14271231,0,0,0,1,0,0,1,0
"better","intermediate or high","4","little","some","50s",0,"Nee",0,"2",9.4039755,"female",0.18478081,0.79180282,0,0,0,0,0,1,0,0
"better","intermediate or high","5","some","some","40s",0,"Ja",0,"3",10.837412,"male",0.87911451,0.79180282,0,0,1,0,0,0,0,1
"better","intermediate or high","3","little","some","40s",0,"Ja",0,"1",10.056113,"female",-0.16928768,-0.14602637,0,0,0,0,1,0,0,0
"no sibling","intermediate or high","4","little","little","50s",0,"Nee",0,"4",10.613558,"female",0.60379064,0.49042296,0,1,0,0,0,0,0,0
"better","intermediate or high","5","some","some","50s",3,"Ja",0,"3",10.352037,"male",0.76110947,0.49042296,0,0,0,0,1,0,0,1
"better","intermediate or high","5","hardly at all","some","<30",0,"Nee",0,"2",9.7432423,"female",-0.2555989,-0.77916163,0,0,0,0,1,0,0,0
"no sibling","low","4","some","some","40s",2,"Ja",0,NA,9.9852133,"female",-0.32694942,0.79180282,0,0,0,0,1,0,0,0
"better","intermediate or high","4","hardly at all","little","30s",1,"Ja",0,"1",9.9607496,"female",-1.7393516,0.79180282,0,0,0,0,0,1,0,0
"better","intermediate or high","5","some","some","50s",1,"Ja",1,"3",10.125251,"male",-0.77592129,0.49042296,0,1,0,0,0,0,0,0
"better","intermediate or high","4","some","little","30s",0,"Nee",0,"1",9.9166641,"male",0.10053438,0.79180282,0,0,1,0,0,0,0,0
"better","intermediate or high","7 zeer goed","some","a lot","50s",0,"Ja",1,"2",11.04946,"male",0.9449876,0.79180282,0,0,0,1,0,0,0,1
"no sibling","intermediate or high","3","little","little","40s",2,"Ja",0,"4",9.828084,"male",-0.51089412,0.49042296,0,0,1,0,0,0,0,0
"no sibling","intermediate or high","6","some","some","40s",2,"Ja",0,"3",10.740421,"male",0.78039581,-0.14271231,0,0,1,0,0,0,0,1
"no sibling","intermediate or high","3","little","some",">60",0,"Nee",0,"4",10.642798,"male",0.78039581,0.49042296,0,0,0,0,0,1,1,0
"worse","intermediate or high","4","little","hardly at all","40s",3,"Ja",0,"3",10.460867,"male",-2.4173326,-1.3116957,0,1,0,0,0,0,0,0
"worse","low","6","a lot","a lot","30s",0,"Nee",0,"3",9.9342203,"female",0.81572121,0.79180282,0,0,0,0,1,0,0,0
"worse","intermediate or high","7 zeer goed","a lot","a lot","50s",0,"Ja",1,"4",12.151549,"male",0.60882771,0.79180282,0,0,0,0,0,1,1,1
"worse","low","1 zeer slecht","hardly at all","little","40s",2,"Ja",0,"4",9.8083057,"female",0.63669312,0.79180282,0,1,0,0,0,0,0,0
"better","intermediate or high","6","some","some","<30",0,"Nee",0,"2",9.855444,"female",0.78014797,-0.67856038,0,0,0,0,1,0,0,1
"better","intermediate or high","4","hardly at all","some","30s",2,"Ja",0,"4",10.187197,"female",-0.98461121,-1.3116957,0,1,0,0,0,0,0,0
"worse","intermediate or high","4","some","some",">60",0,"Nee",0,"4",9.6859407,"female",-0.047725059,0.79180282,0,0,0,0,1,0,0,0
"no sibling","low","6","hardly at all","some",">60",0,"Ja",0,"4",10.122352,"male",0.73547161,0.79180282,0,1,0,0,0,0,1,1
"better","intermediate or high","3","little","little","30s",0,"Ja",NA,NA,9.9441557,"female",-0.35969585,0.79180282,0,0,0,0,0,1,0,NA
"worse","intermediate or high","5","little","little","30s",2,"Ja",0,"3",10.407447,"female",0.67361099,0.49042296,0,0,0,0,1,0,0,1
"no sibling","dont know","7 zeer goed","some","a lot","40s",0,"Nee",NA,NA,9.3970385,"female",-2.3921213,-4.6797991,0,0,0,0,1,0,0,NA
"better","intermediate or high","4","hardly at all","some","50s",2,"Ja",0,"3",9.6757231,"female",-0.16055641,-3.7452841,0,1,0,0,0,0,0,0
"better","intermediate or high","5","some","some","<30",0,"Ja",NA,NA,10.16347,"male",0.83784181,0.79180282,0,0,0,0,0,1,0,NA
"no sibling","intermediate or high","6","some","a lot","50s",0,"Nee",NA,NA,11.232166,"male",0.057014253,-0.67856038,0,0,0,1,0,0,0,NA
"no sibling","intermediate or high","3","little","some","30s",2,"Ja",NA,NA,10.136104,"female",0.44307289,0.15866753,0,0,1,0,0,0,0,NA
"better","intermediate or high","3","little","some","40s",0,"Nee",NA,NA,NA,"female",-0.15598711,-1.0805415,0,0,0,0,0,1,0,NA
"no sibling","dont know","Ik weet het niet","a lot","some","30s",0,"Nee",0,"2",8.9890327,"male",-1.3793306,-4.3784194,0,1,0,0,0,0,0,0
"better","intermediate or high","4","little","some","40s",2,"Ja",NA,NA,11.391827,"female",0.73216259,0.79180282,0,0,0,0,1,0,0,NA
"better","intermediate or high","6","some","a lot","30s",2,"Ja",1,"1",10.738082,"male",0.3815355,-1.3116957,0,0,1,0,0,0,0,0
"worse","intermediate or high","5","a lot","some","30s",0,"Nee",0,"2",9.3970385,"female",0.41487899,0.79180282,0,0,1,0,0,0,0,1
"better","intermediate or high","5","little","some","50s",3,"Nee",NA,NA,9.8594046,"female",0.46795332,-0.14271231,0,0,1,0,0,0,0,NA
"better","intermediate or high","4","some","a lot","30s",2,"Ja",0,NA,10.360471,"female",-0.98724008,0.79180282,0,0,0,0,0,1,0,0
"better","intermediate or high","2","some","little","30s",3,"Ja",NA,NA,10.490666,"male",-2.2403359,0.79180282,0,0,0,0,1,0,0,NA
"worse","intermediate or high","4","some","little","30s",0,"Nee",NA,NA,9.7087727,"male",-0.68610293,0.79180282,0,0,1,0,0,0,0,NA
"better","intermediate or high","Ik wil het niet zeggen","hardly at all","some","50s",0,"Ja",NA,NA,8.788723,"female",-2.4862831,-4.6797991,0,1,0,0,0,0,0,NA
"worse","intermediate or high","4","a lot","some","50s",3,"Nee",NA,NA,10.270761,"female",0.72749764,0.79180282,0,0,0,0,0,1,0,NA
"no sibling","intermediate or high","4","hardly at all","hardly at all","30s",0,"Nee",0,"1",9.5574656,"male",0.82013547,0.79180282,0,0,0,0,1,0,0,0
"better","intermediate or high","6","a lot","a lot","40s",4,"Ja",0,"4",10.466479,"male",0.48052222,0.79180282,0,0,0,0,1,0,0,1
"better","intermediate or high","5","little","hardly at all",">60",0,"Ja",0,"4",10.337217,"male",0.38846126,0.49042296,0,1,0,0,0,0,1,0
"better","intermediate or high","5","some","some",">60",0,"Ja",0,"4",9.9708366,"male",0.60895115,0.49042296,0,0,0,1,0,0,1,0
"better","intermediate or high","6","a lot","some",">60",0,"Ja",0,"4",10.542217,"male",0.6514405,0.79180282,0,0,0,1,0,0,1,0
"better","intermediate or high","3","hardly at all","hardly at all","40s",0,"Nee",0,"2",9.7467022,"male",-0.55875331,-0.44740623,0,1,0,0,0,0,0,0
"no sibling","dont know","5","little","little","40s",3,"Ja",0,"4",9.9343643,"male",-2.0450213,0.79180282,0,1,0,0,0,0,0,0
"better","intermediate or high","5","a lot","some","30s",1,"Ja",0,"2",10.676248,"male",1.0239724,0.79180282,0,0,0,0,0,1,0,0
"better","intermediate or high","4","some","little",">60",0,"Nee",0,"1",9.5525856,"female",0.54589939,-1.0805415,1,0,0,0,0,0,0,0
"no sibling","intermediate or high","4","little","hardly at all","30s",3,"Ja",NA,NA,9.6932135,"female",0.63415474,0.49042296,0,0,1,0,0,0,0,NA
"better","intermediate or high","5","hardly at all","some",">60",0,"Ja",0,"2",9.8305435,"female",0.48775113,-2.5763009,0,1,0,0,0,0,1,0
"worse","intermediate or high","3","hardly at all","little","50s",2,"Ja",0,"2",10.177006,"male",-1.0470753,0.49042296,0,0,1,0,0,0,0,0
"worse","intermediate or high","5","little","little","50s",0,"Ja",0,"4",10.762682,"male",0.79863089,0.79180282,0,0,0,0,1,0,0,0
"better","intermediate or high","4","some","some","40s",0,"Nee",0,"2",9.7637663,"male",0.48310339,-0.14602637,0,0,0,1,0,0,0,1
"better","intermediate or high","5","some","little",">60",0,"Ja",0,"4",10.214402,"male",0.87408167,0.15866753,0,0,1,0,0,0,0,0
"better","intermediate or high","5","little","little","40s",0,"Nee",1,"2",9.2585564,"male",0.77538347,0.79180282,0,0,0,0,1,0,0,0
"better","intermediate or high","4","some","hardly at all","40s",0,"Nee",0,"2",9.579915,"male",-0.2067318,0.79180282,0,0,1,0,0,0,0,1
"better","intermediate or high","6","hardly at all","little","50s",2,"Ja",0,"4",10.037535,"male",0.9624154,0.79180282,0,1,0,0,0,0,0,0
"no sibling","intermediate or high","4","little","some","40s",2,"Ja",0,"3",9.4829969,"male",-0.28306609,-0.37718052,0,0,0,0,1,0,0,1
"no sibling","low","5","some","hardly at all",">60",0,"Ja",NA,NA,NA,"male",-2.1168954,0.79180282,0,0,0,0,0,1,1,NA
"better","intermediate or high","5","a lot","a lot","50s",2,"Ja",0,"4",10.193841,"male",0.68977463,0.49042296,0,0,1,0,0,0,0,1
"no sibling","intermediate or high","4","a lot","little","40s",0,"Nee",NA,NA,NA,"male",0.85747272,0.79180282,0,0,0,0,0,1,0,NA
"better","intermediate or high","5","little","some","50s",1,"Ja",0,"4",10.846724,"male",0.10890146,0.79180282,0,0,0,0,0,1,0,1
"worse","intermediate or high","5","little","some","30s",3,"Ja",0,"3",10.162561,"male",0.72749764,0.79180282,0,0,0,0,1,0,0,1
"worse","intermediate or high","6","a lot","some","30s",2,"Ja",0,"1",10.448741,"male",0.52493501,0.79180282,0,0,0,1,0,0,0,0
